商品名称,商品价格,评论数,店铺名,其它信息
【超级爆品】一加 OnePlus 7 骁龙855旗舰性能 4800万超清双摄 8GB+256GB 曜岩灰 全面屏拍照智能游戏,2599.00,19万+条评价,一加手机京东自营官方旗舰店,自营新品赠
vivo iQOO Pro 5G 12GB+128GB 竞速黑 高通骁龙855Plus手机 4800万AI三摄 44W超快闪充 全网通,3998.00,7.8万+条评价,vivo京东自营官方旗舰店,自营新品赠
OPPO K5 6GB+128GB 奇幻森林 6400万超清四摄 VOOC闪充4.0 高通骁龙730G 4G游戏智能,1899.00,3.8万+条评价,OPPO京东自营官方旗舰店,自营新品赠
vivo iQOO Neo 855版 6GB+128GB 冰岛极光 骁龙855处理器 33W超快闪充 4500mAh大电池游戏 全网通4G,2298.00,4.2万+条评价,vivo京东自营官方旗舰店,自营新品赠
一加 OnePlus 7T Pro 2K+90Hz流体屏 骁龙855Plus旗舰 4800万超广角三摄 12GB+256GB 迈凯伦限定版 游戏,5299.00,1.7万+条评价,一加手机京东自营官方旗舰店,自营新品赠
vivo Z5x 4GB+64GB 极夜黑 极点屏手机 5000mAh大电池 三摄拍照手机 移动联通电信全网通4G,1298.00,33万+条评价,vivo京东自营官方旗舰店,自营新品赠
京品手机
小米9 骁龙855 索尼4800万超广角微距三摄 支持20W无线闪充 8GB+128GB 全息幻彩蓝 智能拍照游戏,2399.00,42万+条评价,小米京东自营旗舰店,自营新品赠
荣耀8X Max 骁龙660 7.12英寸90%屏占比珍珠屏 6GB+64GB 魅海蓝 移动联通电信4G全面屏 双卡双待,1089.00,35万+条评价,荣耀京东自营旗舰店,自营新品赠
Apple iPhone XS (A2100) 256GB 深空灰色 移动联通电信4G手机,8299.00,33万+条评价,Apple产品京东自营旗舰店,自营新品赠
【超级爆款】华为 HUAWEI 畅享 9S 6GB+64GB 幻夜黑 全网通 2400万超广角三摄珍珠屏大存储 移动联通电信4G 双卡双待,1199.00,32万+条评价,华为京东自营官方旗舰店,自营新品赠
京品手机
荣耀Magic2魔法手机 麒麟980AI智能芯片 超广角AI三摄 6GB+128GB 渐变蓝 移动联通电信4G 双卡双待,1999.00,18万+条评价,荣耀京东自营旗舰店,自营新品赠
Redmi Note8Pro 6400万全场景四摄 液冷游戏芯 4500mAh长续航 NFC 18W快充 红外遥控 6GB+64GB 贝母白 游戏智能 小米 红米,1299.00,24万+条评价,小米京东自营旗舰店,自营新品赠
联想Z5 畅享版 6GB+64GB 极光紫 6.2英寸全面屏双摄 全网通4G手机 双卡双待,798.00,19万+条评价,联想手机京东自营官方旗舰店,自营新品赠
京品手机
OPPO K1 光感屏幕指纹 水滴屏拍照手机 6GB+64GB 梵星蓝 全网通 移动联通电信4G 双卡双待,1299.00,54万+条评价,OPPO京东自营官方旗舰店,自营新品赠
【超级爆品】realme X2 6400万超广角四摄 骁龙730G 30W VOOC4.0闪充 4000mAh长续航 全网通8GB+128GB 星图蓝,1899.00,5.5万+条评价,realme京东自营官方旗舰店,自营新品赠
联想Z6 Pro 8GB+128GB 黑色 骁龙855 4800万AI四摄 4000mAh大电池 PC级液冷散热 游戏 全网通4G 双卡双待,1999.00,1.9万+条评价,联想手机京东自营官方旗舰店,自营新品赠
荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通4GB+64GB 幻夜黑,889.00,6.7万+条评价,荣耀京东自营旗舰店,自营新品赠
华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 亮黑色 全网通4G手机 双卡双待,2588.00,42万+条评价,华为京东自营官方旗舰店,自营新品赠
荣耀畅玩8A 6.09英寸珍珠全面屏 震撼大音量 3GB+32GB 幻夜黑 移动联通电信4G全面屏 双卡双待,589.00,34万+条评价,荣耀京东自营旗舰店,自营新品赠
Apple iPhone 8 (A1863) 64GB 深空灰色 移动联通电信4G手机,3299.00,150万+条评价,Apple产品京东自营旗舰店,自营新品赠
京品手机
华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G,3399.00,41万+条评价,华为京东自营官方旗舰店,自营新品赠
Apple iPhone 6s Plus (A1699) 128G 玫瑰金色 移动联通电信4G手机,2799.00,95万+条评价,Apple产品京东自营旗舰店,自营新品赠
Redmi K20 索尼4800万超广角三摄 AMOLED弹出式全面屏 第七代屏下指纹 6GB+128GB 碳纤黑 游戏 小米 红米,1599.00,9.9万+条评价,小米京东自营旗舰店,自营新品赠
华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB丹霞橙5G全网通版,6899.00,7.2万+条评价,华为京东自营官方旗舰店,自营新品赠
OPPO K5手机 【优惠100+手环】 6400万超清四摄 k1k3升级版游戏手机 oppok5 奇幻森林 6G+128G 全网通,1899.00,1200+条评价,OPPO优品专卖店,自营新品赠
【新品】realme X2 Pro 6400万变焦四摄拍照 高通骁龙855Plus 50W超级闪充 90Hz电竞屏 全网通8GB+128GB 月神白色 游戏智能 真我,2899.00,1.1万+条评价,realme京东自营官方旗舰店,自营新品赠
华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G,4988.00,51万+条评价,华为京东自营官方旗舰店,无
华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB幻夜黑全网通双4G,1449.00,10万+条评价,华为京东自营官方旗舰店,无
Apple iPhone 8 Plus (A1864) 64GB 深空灰色 移动联通电信4G手机,4199.00,198万+条评价,Apple产品京东自营旗舰店,无
Redmi K20Pro 尊享版 骁龙855Plus 索尼4800万超广角三摄 AMOLED弹出式全面屏 12GB+512GB 水之蜜语 游戏智能 小米 红米,2999.00,6.3万+条评价,小米京东自营旗舰店,无
ROG游戏手机2精英版 腾讯游戏深度定制 8GB+128GB 黑色 骁龙855Plus芯片 120Hz电竞屏 全网通双4G,3499.00,5.2万+条评价,ROG京东自营官方旗舰店,无
小辣椒 红辣椒7R 3GB+32GB 渐变黑 6.0英寸 全面屏 3050mAh大电池 全网通4G 双卡双待,499.00,1.7万+条评价,小辣椒手机京东自营官方旗舰店,无
京品手机
三星 Galaxy A8s 全面屏手机 6GB+128GB 莓什么 全网通 双卡双待 4G,1499.00,4.5万+条评价,三星手机京东自营官方旗舰店,无
vivo X27 8GB+128GB大内存 印象夏日 4800万AI三摄全面屏拍照手机 移动联通电信全网通4G,2498.00,9.9万+条评价,vivo京东自营官方旗舰店,无
